issue_number,scan_title,submitted_url,final_url,http_status,fetch_ok,redirected,elapsed_ms,alfa_executed,alfa_passed,alfa_failed,alfa_cant_tell,alfa_inapplicable,alfa_failed_rules,alfa_error,axe_executed,axe_passed,axe_failed,axe_cant_tell,axe_inapplicable,axe_failed_rules,axe_error,equal_access_executed,equal_access_passed,equal_access_failed,equal_access_failed_unique,equal_access_failed_duplicates,equal_access_cant_tell,equal_access_inapplicable,equal_access_failed_rules,equal_access_error,accesslint_executed,accesslint_passed,accesslint_failed,accesslint_failed_unique,accesslint_failed_duplicates,accesslint_cant_tell,accesslint_inapplicable,accesslint_failed_rules,accesslint_error,qualweb_executed,qualweb_passed,qualweb_failed,qualweb_cant_tell,qualweb_inapplicable,qualweb_failed_rules,qualweb_error,duplicate_findings,fetch_error,page_title
175,NH.gov,https://nh.gov/government/local-government,https://www.nh.gov/government/local-government,403,false,true,5642,false,0,0,0,0,,Skipped (not requested),true,9,5,0,80,html-has-lang;landmark-one-main;region,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,0,0,,Skipped (not requested),true,13,1,0,0,QW-ACT-R2,,0,,Access Denied
175,NH.gov,https://nh.gov/almanac/history,https://www.nh.gov/almanac/history,403,false,true,5565,false,0,0,0,0,,Skipped (not requested),true,9,5,0,80,html-has-lang;landmark-one-main;region,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,0,0,,Skipped (not requested),true,13,1,0,0,QW-ACT-R2,,0,,Access Denied
175,NH.gov,https://nh.gov/almanac/history/markers,https://www.nh.gov/almanac/history/markers,403,false,true,5692,false,0,0,0,0,,Skipped (not requested),true,9,5,0,80,html-has-lang;landmark-one-main;region,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,0,0,,Skipped (not requested),true,13,1,0,0,QW-ACT-R2,,0,,Access Denied
175,NH.gov,https://nh.gov/visitors/planning-tools,https://www.nh.gov/visitors/planning-tools,403,false,true,5580,false,0,0,0,0,,Skipped (not requested),true,9,5,0,80,html-has-lang;landmark-one-main;region,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,0,0,,Skipped (not requested),true,13,1,0,0,QW-ACT-R2,,0,,Access Denied
175,NH.gov,https://nh.gov/visitors/guide-request,https://www.nh.gov/visitors/guide-request,403,false,true,5508,false,0,0,0,0,,Skipped (not requested),true,9,5,0,80,html-has-lang;landmark-one-main;region,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,0,0,,Skipped (not requested),true,13,1,0,0,QW-ACT-R2,,0,,Access Denied
175,NH.gov,https://nh.gov/online-services/residents/motor-vehicle-boating-services,https://www.nh.gov/online-services/residents/motor-vehicle-boating-services,403,false,true,5547,false,0,0,0,0,,Skipped (not requested),true,9,5,0,80,html-has-lang;landmark-one-main;region,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,0,0,,Skipped (not requested),true,13,1,0,0,QW-ACT-R2,,0,,Access Denied
175,NH.gov,https://nh.gov/online-services/residents/motor-vehicle-boating-services/renewal,https://www.nh.gov/online-services/residents/motor-vehicle-boating-services/renewal,403,false,true,5565,false,0,0,0,0,,Skipped (not requested),true,9,5,0,80,html-has-lang;landmark-one-main;region,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,0,0,,Skipped (not requested),true,13,1,0,0,QW-ACT-R2,,0,,Access Denied
175,NH.gov,https://nh.gov/sitemap,https://www.nh.gov/sitemap,403,false,true,5565,false,0,0,0,0,,Skipped (not requested),true,9,5,0,80,html-has-lang;landmark-one-main;region,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,0,0,,Skipped (not requested),true,13,1,0,0,QW-ACT-R2,,0,,Access Denied
175,NH.gov,https://nh.gov/residents/energy-assistance,https://www.nh.gov/residents/energy-assistance,403,false,true,5544,false,0,0,0,0,,Skipped (not requested),true,9,5,0,80,html-has-lang;landmark-one-main;region,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,0,0,,Skipped (not requested),true,13,1,0,0,QW-ACT-R2,,0,,Access Denied
175,NH.gov,https://nh.gov/residents/employment-security,https://www.nh.gov/residents/employment-security,403,false,true,5538,false,0,0,0,0,,Skipped (not requested),true,9,5,0,80,html-has-lang;landmark-one-main;region,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,0,0,,Skipped (not requested),true,13,1,0,0,QW-ACT-R2,,0,,Access Denied
175,NH.gov,https://nh.gov/businesses/procurement,https://www.nh.gov/businesses/procurement,403,false,true,5528,false,0,0,0,0,,Skipped (not requested),true,9,5,0,80,html-has-lang;landmark-one-main;region,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,0,0,,Skipped (not requested),true,13,1,0,0,QW-ACT-R2,,0,,Access Denied
175,NH.gov,https://nh.gov/government/transparency,https://www.nh.gov/government/transparency,403,false,true,5526,false,0,0,0,0,,Skipped (not requested),true,9,5,0,80,html-has-lang;landmark-one-main;region,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,0,0,,Skipped (not requested),true,13,1,0,0,QW-ACT-R2,,0,,Access Denied
175,NH.gov,https://nh.gov/government/boards-commissions,https://www.nh.gov/government/boards-commissions,403,false,true,5580,false,0,0,0,0,,Skipped (not requested),true,9,5,0,80,html-has-lang;landmark-one-main;region,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,0,0,,Skipped (not requested),true,13,1,0,0,QW-ACT-R2,,0,,Access Denied
