issue_number,scan_title,scan_browser,scan_color_scheme,scan_viewport_preset,scan_viewport_width,scan_viewport_height,submitted_url,final_url,http_status,fetch_ok,redirected,elapsed_ms,alfa_executed,alfa_passed,alfa_failed,alfa_cant_tell,alfa_inapplicable,alfa_failed_rules,alfa_error,axe_executed,axe_passed,axe_failed,axe_cant_tell,axe_inapplicable,axe_failed_rules,axe_error,equal_access_executed,equal_access_passed,equal_access_failed,equal_access_failed_unique,equal_access_failed_duplicates,equal_access_cant_tell,equal_access_inapplicable,equal_access_failed_rules,equal_access_error,accesslint_executed,accesslint_passed,accesslint_failed,accesslint_failed_unique,accesslint_failed_duplicates,accesslint_cant_tell,accesslint_inapplicable,accesslint_failed_rules,accesslint_error,qualweb_executed,qualweb_passed,qualweb_failed,qualweb_cant_tell,qualweb_inapplicable,qualweb_failed_rules,qualweb_error,duplicate_findings,fetch_error,page_title
350,https://www.portofrotterdam.com,firefox,both,desktop,1280,800,https://www.portofrotterdam.com,https://www.portofrotterdam.com/,,false,false,60000,false,0,0,0,0,,URL scan timeout exceeded,false,0,0,0,0,,URL scan timeout exceeded,false,0,0,0,0,0,0,,URL scan timeout exceeded,false,0,0,0,0,0,0,,URL scan timeout exceeded,false,0,0,0,0,,URL scan timeout exceeded,0,URL scan exceeded 60s timeout,
350,https://www.portofrotterdam.com,firefox,both,desktop,1280,800,https://www.portofrotterdam.com/de/nachrichten-und-pressemitteilungen/vereinbarungen-zur-gemaessigten-erhoehung-der-hafengebuehren-um,https://www.portofrotterdam.com/de/nachrichten-und-pressemitteilungen/vereinbarungen-zur-gemaessigten-erhoehung-der-hafengebuehren-um,200,true,false,45600,true,579,52,2,51,https://alfa.siteimprove.com/rules/sia-r111;https://alfa.siteimprove.com/rules/sia-r61;https://alfa.siteimprove.com/rules/sia-r66;https://alfa.siteimprove.com/rules/sia-r69,,true,604,12,28,44,color-contrast;list;region,,true,1339,35,35,0,25,0,aria_child_valid;aria_content_in_landmark;aria_role_redundant;element_tabbable_unobscured;element_tabbable_visible;input_label_visible;label_name_visible;style_color_misuse;style_focus_visible;style_highcontrast_visible;text_block_heading;text_contrast_sufficient,,true,81,13,13,0,0,0,adaptable/list-children;distinguishable/color-contrast;labels-and-names/label-placeholder-only;landmarks/region;navigable/empty-heading;navigable/heading-order,,true,360,27,103,6,QW-ACT-R37;QW-ACT-R38;QW-ACT-R76,,67,,Vereinbarungen zur gemäßigten Erhöhung der Hafengebühren um ein Jahr verlängert | Port of Rotterdam
350,https://www.portofrotterdam.com,firefox,both,desktop,1280,800,https://www.portofrotterdam.com/en/portlantis/to-do/accessibility,https://www.portofrotterdam.com/en/portlantis/to-do/accessibility,200,true,false,43329,true,580,41,1,49,https://alfa.siteimprove.com/rules/sia-r111;https://alfa.siteimprove.com/rules/sia-r64;https://alfa.siteimprove.com/rules/sia-r66;https://alfa.siteimprove.com/rules/sia-r68;https://alfa.siteimprove.com/rules/sia-r73;https://alfa.siteimprove.com/rules/sia-r78,,true,581,4,18,46,empty-heading;list;region,,true,1487,60,48,12,46,0,aria_accessiblename_exists;aria_child_valid;aria_content_in_landmark;aria_role_redundant;element_attribute_deprecated;element_id_unique;element_tabbable_unobscured;heading_content_exists;input_label_visible;style_color_misuse;style_focus_visible;style_highcontrast_visible;svg_graphics_labelled;text_block_heading;text_contrast_sufficient,,true,87,7,7,0,0,0,adaptable/list-children;landmarks/landmark-unique;landmarks/region;navigable/empty-heading,,true,305,5,65,9,QW-ACT-R35;QW-ACT-R38;QW-ACT-R76,,43,,Accessibility | Portlantis
350,https://www.portofrotterdam.com,firefox,both,desktop,1280,800,https://www.portofrotterdam.com/de/logistik/verbindungen/modalitaeten,https://www.portofrotterdam.com/de/logistik/verbindungen/modalitaeten,200,true,false,51898,true,694,45,3,48,https://alfa.siteimprove.com/rules/sia-r111;https://alfa.siteimprove.com/rules/sia-r53;https://alfa.siteimprove.com/rules/sia-r66;https://alfa.siteimprove.com/rules/sia-r69;https://alfa.siteimprove.com/rules/sia-r73,,true,662,10,33,44,color-contrast;heading-order;list;region,,true,1497,24,24,0,14,0,aria_child_valid;aria_content_in_landmark;aria_role_redundant;element_tabbable_unobscured;element_tabbable_visible;input_label_visible;label_name_visible;style_color_misuse;style_focus_visible;style_highcontrast_visible;text_block_heading;text_contrast_sufficient,,true,84,10,10,0,0,0,adaptable/list-children;distinguishable/color-contrast;labels-and-names/label-placeholder-only;landmarks/region;navigable/empty-heading;navigable/heading-order,,true,401,19,120,6,QW-ACT-R37;QW-ACT-R38;QW-ACT-R76,,54,,Modalitäten | Port of Rotterdam
350,https://www.portofrotterdam.com,firefox,both,desktop,1280,800,https://www.portofrotterdam.com/nl/nieuws-en-persberichten/havenbedrijf-rotterdam-faciliteert-expansie-sif-op-maasvlakte,https://www.portofrotterdam.com/nl/nieuws-en-persberichten/havenbedrijf-rotterdam-faciliteert-expansie-sif-op-maasvlakte,200,true,false,52296,true,600,56,2,51,https://alfa.siteimprove.com/rules/sia-r111;https://alfa.siteimprove.com/rules/sia-r61;https://alfa.siteimprove.com/rules/sia-r66;https://alfa.siteimprove.com/rules/sia-r69,,true,627,11,31,44,color-contrast;list;region,,true,1254,27,27,0,19,0,aria_child_valid;aria_content_in_landmark;aria_role_redundant;element_tabbable_unobscured;element_tabbable_visible;input_checkboxes_grouped;input_label_visible;style_color_misuse;style_focus_visible;style_highcontrast_visible;text_contrast_sufficient,,true,82,12,12,0,0,0,adaptable/list-children;distinguishable/color-contrast;labels-and-names/label-placeholder-only;landmarks/region;navigable/empty-heading;navigable/heading-order,,true,368,29,117,6,QW-ACT-R37;QW-ACT-R38;QW-ACT-R76,,73,,Havenbedrijf Rotterdam faciliteert expansie Sif op Maasvlakte | Port of Rotterdam
350,https://www.portofrotterdam.com,firefox,both,desktop,1280,800,https://www.portofrotterdam.com/nl/binnenvaart,https://www.portofrotterdam.com/nl/binnenvaart,,false,false,60002,false,0,0,0,0,,URL scan timeout exceeded,false,0,0,0,0,,URL scan timeout exceeded,false,0,0,0,0,0,0,,URL scan timeout exceeded,false,0,0,0,0,0,0,,URL scan timeout exceeded,false,0,0,0,0,,URL scan timeout exceeded,0,URL scan exceeded 60s timeout,
350,https://www.portofrotterdam.com,firefox,both,desktop,1280,800,https://www.portofrotterdam.com/de/logistik/ladung/lng/lng-partnerschaften,https://www.portofrotterdam.com/de/logistik/ladung/lng/lng-partnerschaften,200,true,false,54949,true,618,64,2,51,https://alfa.siteimprove.com/rules/sia-r111;https://alfa.siteimprove.com/rules/sia-r61;https://alfa.siteimprove.com/rules/sia-r66;https://alfa.siteimprove.com/rules/sia-r69,,true,661,14,27,44,color-contrast;list;region,,true,1491,38,38,0,28,0,aria_child_valid;aria_content_in_landmark;aria_role_redundant;element_tabbable_unobscured;element_tabbable_visible;figure_label_exists;input_label_visible;label_name_visible;style_color_misuse;style_focus_visible;style_highcontrast_visible;text_block_heading;text_contrast_sufficient,,true,79,15,15,0,0,0,adaptable/list-children;distinguishable/color-contrast;labels-and-names/label-placeholder-only;landmarks/region;navigable/empty-heading;navigable/heading-order,,true,381,29,113,6,QW-ACT-R37;QW-ACT-R38;QW-ACT-R76,,81,,LNG-Partnerschaften | Port of Rotterdam
350,https://www.portofrotterdam.com,firefox,both,desktop,1280,800,https://www.portofrotterdam.com/nl/nieuws-en-persberichten/veilige-ligplaatsen-voor-duwbakken,https://www.portofrotterdam.com/nl/nieuws-en-persberichten/veilige-ligplaatsen-voor-duwbakken,200,true,false,56886,true,609,58,2,51,https://alfa.siteimprove.com/rules/sia-r111;https://alfa.siteimprove.com/rules/sia-r61;https://alfa.siteimprove.com/rules/sia-r66;https://alfa.siteimprove.com/rules/sia-r69,,true,638,12,31,44,color-contrast;list;region,,true,1427,41,41,0,32,0,aria_child_valid;aria_content_in_landmark;aria_role_redundant;element_tabbable_unobscured;element_tabbable_visible;input_checkboxes_grouped;input_label_visible;style_color_misuse;style_focus_visible;style_highcontrast_visible;text_block_heading;text_contrast_sufficient,,true,80,14,14,0,0,0,adaptable/list-children;distinguishable/color-contrast;labels-and-names/label-placeholder-only;landmarks/region;navigable/empty-heading;navigable/heading-order,,true,373,31,119,6,QW-ACT-R37;QW-ACT-R38;QW-ACT-R76,,76,,Veilige ligplaatsen voor duwbakken | Port of Rotterdam
350,https://www.portofrotterdam.com,firefox,both,desktop,1280,800,https://www.portofrotterdam.com/de/nachrichten-und-pressemitteilungen/nautische-zahlen-im-rotterdamer-hafen-ein-sicheres-und-aktives,https://www.portofrotterdam.com/de/nachrichten-und-pressemitteilungen/nautische-zahlen-im-rotterdamer-hafen-ein-sicheres-und-aktives,200,true,false,56585,true,705,51,2,50,https://alfa.siteimprove.com/rules/sia-r111;https://alfa.siteimprove.com/rules/sia-r61;https://alfa.siteimprove.com/rules/sia-r66;https://alfa.siteimprove.com/rules/sia-r69,,true,663,12,27,44,color-contrast;list;region,,true,1487,35,35,0,25,0,aria_child_valid;aria_content_in_landmark;aria_role_redundant;element_tabbable_unobscured;element_tabbable_visible;input_label_visible;label_name_visible;style_color_misuse;style_focus_visible;style_highcontrast_visible;text_block_heading;text_contrast_sufficient,,true,81,13,13,0,0,0,adaptable/list-children;distinguishable/color-contrast;labels-and-names/label-placeholder-only;landmarks/region;navigable/empty-heading;navigable/heading-order,,true,402,27,105,6,QW-ACT-R37;QW-ACT-R38;QW-ACT-R76,,66,,Nautische Zahlen im Rotterdamer Hafen: ein sicheres und aktives Jahr mit etwas weniger Schiffen | Port of Rotterdam
350,https://www.portofrotterdam.com,firefox,both,desktop,1280,800,https://www.portofrotterdam.com/nl/online-beleven/portcast/op-ontdekkingsreis-door-de-haven,https://www.portofrotterdam.com/nl/online-beleven/portcast/op-ontdekkingsreis-door-de-haven,,false,false,60001,false,0,0,0,0,,URL scan timeout exceeded,false,0,0,0,0,,URL scan timeout exceeded,false,0,0,0,0,0,0,,URL scan timeout exceeded,false,0,0,0,0,0,0,,URL scan timeout exceeded,false,0,0,0,0,,URL scan timeout exceeded,0,URL scan exceeded 60s timeout,
350,https://www.portofrotterdam.com,firefox,both,desktop,1280,800,https://www.portofrotterdam.com/nl/portlantis/onderwijs/hbo-wo,https://www.portofrotterdam.com/nl/portlantis/onderwijs/hbo-wo,200,true,false,50263,true,448,25,1,49,https://alfa.siteimprove.com/rules/sia-r111;https://alfa.siteimprove.com/rules/sia-r64;https://alfa.siteimprove.com/rules/sia-r66;https://alfa.siteimprove.com/rules/sia-r68;https://alfa.siteimprove.com/rules/sia-r73;https://alfa.siteimprove.com/rules/sia-r78,,true,508,4,31,46,empty-heading;list;region,,true,1174,47,38,9,33,0,aria_accessiblename_exists;aria_child_valid;aria_content_in_landmark;aria_role_redundant;element_attribute_deprecated;element_id_unique;element_tabbable_unobscured;element_tabbable_visible;heading_content_exists;input_label_visible;style_color_misuse;style_focus_visible;style_highcontrast_visible;svg_graphics_labelled,,true,86,8,8,0,0,0,adaptable/list-children;distinguishable/color-contrast;landmarks/landmark-unique;landmarks/region;navigable/empty-heading,,true,252,7,64,9,QW-ACT-R30;QW-ACT-R35;QW-ACT-R38;QW-ACT-R76,,27,,HBO &amp; WO | Portlantis
350,https://www.portofrotterdam.com,firefox,both,desktop,1280,800,https://www.portofrotterdam.com/nl/nieuws-en-persberichten/havenbedrijf-rotterdam-verdiept-amazonehaven,https://www.portofrotterdam.com/nl/nieuws-en-persberichten/havenbedrijf-rotterdam-verdiept-amazonehaven,200,true,false,57775,true,628,58,2,50,https://alfa.siteimprove.com/rules/sia-r111;https://alfa.siteimprove.com/rules/sia-r61;https://alfa.siteimprove.com/rules/sia-r66;https://alfa.siteimprove.com/rules/sia-r69,,true,641,12,31,44,color-contrast;list;region,,true,1430,43,42,1,34,0,aria_child_valid;aria_content_in_landmark;aria_role_redundant;element_tabbable_unobscured;element_tabbable_visible;input_checkboxes_grouped;input_label_visible;style_color_misuse;style_focus_visible;style_highcontrast_visible;text_block_heading;text_contrast_sufficient;text_quoted_correctly,,true,81,13,13,0,0,0,adaptable/list-children;distinguishable/color-contrast;labels-and-names/label-placeholder-only;landmarks/region;navigable/empty-heading;navigable/heading-order,,true,380,31,118,6,QW-ACT-R37;QW-ACT-R38;QW-ACT-R76,,78,,Havenbedrijf Rotterdam verdiept Amazonehaven | Port of Rotterdam
350,https://www.portofrotterdam.com,firefox,both,desktop,1280,800,https://www.portofrotterdam.com/de/nachrichten-und-pressemitteilungen/jahresbericht-2020-auch-besonderen-zeiten-den-kurs-halten,https://www.portofrotterdam.com/de/nachrichten-und-pressemitteilungen/jahresbericht-2020-auch-besonderen-zeiten-den-kurs-halten,200,true,false,57020,true,695,26,3,46,https://alfa.siteimprove.com/rules/sia-r57;https://alfa.siteimprove.com/rules/sia-r61;https://alfa.siteimprove.com/rules/sia-r66;https://alfa.siteimprove.com/rules/sia-r69;https://alfa.siteimprove.com/rules/sia-r74,,true,614,11,27,46,color-contrast;list;region,,true,1369,36,36,0,27,0,aria_child_valid;aria_content_in_landmark;aria_role_redundant;element_tabbable_unobscured;element_tabbable_visible;figure_label_exists;input_label_visible;label_name_visible;style_color_misuse;style_focus_visible;style_highcontrast_visible;text_block_heading;text_contrast_sufficient,,true,82,12,12,0,0,0,adaptable/list-children;distinguishable/color-contrast;labels-and-names/label-placeholder-only;landmarks/region;navigable/empty-heading;navigable/heading-order,,true,371,25,105,6,QW-ACT-R37;QW-ACT-R38;QW-ACT-R76,,43,,Jahresbericht 2020: Auch in besonderen Zeiten den Kurs halten | Port of Rotterdam
