issue_number,scan_title,scan_browser,scan_color_scheme,scan_viewport_preset,scan_viewport_width,scan_viewport_height,submitted_url,final_url,http_status,fetch_ok,redirected,elapsed_ms,alfa_executed,alfa_passed,alfa_failed,alfa_cant_tell,alfa_inapplicable,alfa_failed_rules,alfa_error,axe_executed,axe_passed,axe_failed,axe_cant_tell,axe_inapplicable,axe_failed_rules,axe_error,equal_access_executed,equal_access_passed,equal_access_failed,equal_access_failed_unique,equal_access_failed_duplicates,equal_access_cant_tell,equal_access_inapplicable,equal_access_failed_rules,equal_access_error,accesslint_executed,accesslint_passed,accesslint_failed,accesslint_failed_unique,accesslint_failed_duplicates,accesslint_cant_tell,accesslint_inapplicable,accesslint_failed_rules,accesslint_error,qualweb_executed,qualweb_passed,qualweb_failed,qualweb_cant_tell,qualweb_inapplicable,qualweb_failed_rules,qualweb_error,duplicate_findings,fetch_error,page_title
316,Navigant,firefox,both,desktop,1280,800,https://www.navigantcorp.com/ipo-rights-and-buyback,https://www.navigantcorp.com/ipo-rights-and-buyback,200,true,false,17315,true,683,198,38,58,https://alfa.siteimprove.com/rules/sia-r11;https://alfa.siteimprove.com/rules/sia-r111;https://alfa.siteimprove.com/rules/sia-r12;https://alfa.siteimprove.com/rules/sia-r53;https://alfa.siteimprove.com/rules/sia-r57;https://alfa.siteimprove.com/rules/sia-r66;https://alfa.siteimprove.com/rules/sia-r69;https://alfa.siteimprove.com/rules/sia-r74;https://alfa.siteimprove.com/rules/sia-r80,,true,617,18,20,65,button-name;color-contrast;heading-order;landmark-one-main;link-name;region,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,,Skipped (not requested),183,,"IPO, Rights Issue & Buyback Documents | Navigant Corporate Advisors"
316,Navigant,firefox,both,desktop,1280,800,https://www.navigantcorp.com/,https://www.navigantcorp.com/,200,true,false,36167,true,1031,292,102,50,https://alfa.siteimprove.com/rules/sia-r11;https://alfa.siteimprove.com/rules/sia-r111;https://alfa.siteimprove.com/rules/sia-r12;https://alfa.siteimprove.com/rules/sia-r53;https://alfa.siteimprove.com/rules/sia-r57;https://alfa.siteimprove.com/rules/sia-r66;https://alfa.siteimprove.com/rules/sia-r69;https://alfa.siteimprove.com/rules/sia-r72;https://alfa.siteimprove.com/rules/sia-r73;https://alfa.siteimprove.com/rules/sia-r74;https://alfa.siteimprove.com/rules/sia-r80,,true,1501,39,76,54,button-name;heading-order;landmark-one-main;link-name;region,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,,Skipped (not requested),270,,Navigant Corporate Advisors | Merchant Banking & Financial Advisory Services
316,Navigant,firefox,both,desktop,1280,800,https://www.navigantcorp.com/index.php,https://www.navigantcorp.com/index,200,true,true,22953,true,1029,294,102,50,https://alfa.siteimprove.com/rules/sia-r11;https://alfa.siteimprove.com/rules/sia-r111;https://alfa.siteimprove.com/rules/sia-r12;https://alfa.siteimprove.com/rules/sia-r53;https://alfa.siteimprove.com/rules/sia-r57;https://alfa.siteimprove.com/rules/sia-r66;https://alfa.siteimprove.com/rules/sia-r69;https://alfa.siteimprove.com/rules/sia-r72;https://alfa.siteimprove.com/rules/sia-r73;https://alfa.siteimprove.com/rules/sia-r74;https://alfa.siteimprove.com/rules/sia-r80,,true,1500,39,76,54,button-name;heading-order;landmark-one-main;link-name;region,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,,Skipped (not requested),272,,Navigant Corporate Advisors | Merchant Banking & Financial Advisory Services
316,Navigant,firefox,both,desktop,1280,800,https://www.navigantcorp.com/assets/css/style.css,https://www.navigantcorp.com/assets/css/style.css,200,true,false,2271,true,27,5,0,83,https://alfa.siteimprove.com/rules/sia-r1;https://alfa.siteimprove.com/rules/sia-r4;https://alfa.siteimprove.com/rules/sia-r59;https://alfa.siteimprove.com/rules/sia-r79;https://alfa.siteimprove.com/rules/sia-r87,,false,0,0,0,0,,Skipped (non-HTML content type: text/css),false,0,0,0,0,0,0,,Skipped (non-HTML content type: text/css),false,0,0,0,0,0,0,,Skipped (non-HTML content type: text/css),false,0,0,0,0,,Skipped (non-HTML content type: text/css),0,,
316,Navigant,firefox,both,desktop,1280,800,https://www.navigantcorp.com/investor-contact.php,https://www.navigantcorp.com/investor-contact,200,true,true,19498,true,401,113,42,58,https://alfa.siteimprove.com/rules/sia-r11;https://alfa.siteimprove.com/rules/sia-r111;https://alfa.siteimprove.com/rules/sia-r12;https://alfa.siteimprove.com/rules/sia-r53;https://alfa.siteimprove.com/rules/sia-r57;https://alfa.siteimprove.com/rules/sia-r66;https://alfa.siteimprove.com/rules/sia-r69;https://alfa.siteimprove.com/rules/sia-r74;https://alfa.siteimprove.com/rules/sia-r78;https://alfa.siteimprove.com/rules/sia-r80,,true,317,20,20,65,button-name;color-contrast;heading-order;landmark-one-main;link-name;region,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,,Skipped (not requested),96,,Investor Contact | Navigant Corporate Advisors Limited
316,Navigant,firefox,both,desktop,1280,800,https://www.navigantcorp.com/vission-and-mission.php,https://www.navigantcorp.com/vission-and-mission,200,true,true,46270,false,0,0,0,0,,Timeout exceeded while navigating to the page,true,298,17,21,56,button-name;heading-order;landmark-one-main;link-name;region,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,,Skipped (not requested),0,,Vision & Mission | Navigant Corporate Advisors Limited
316,Navigant,firefox,both,desktop,1280,800,https://www.navigantcorp.com/code-of-conduct-policies.php,https://www.navigantcorp.com/code-of-conduct-policies.php,,false,false,10494,false,0,0,0,0,,Skipped because initial URL fetch failed,false,0,0,0,0,,Skipped because initial URL fetch failed,false,0,0,0,0,0,0,,Skipped because initial URL fetch failed,false,0,0,0,0,0,0,,Skipped because initial URL fetch failed,false,0,0,0,0,,Skipped because initial URL fetch failed,0,fetch failed,
316,Navigant,firefox,both,desktop,1280,800,https://www.navigantcorp.com/kmp.php,https://www.navigantcorp.com/kmp.php,,false,false,10491,false,0,0,0,0,,Skipped because initial URL fetch failed,false,0,0,0,0,,Skipped because initial URL fetch failed,false,0,0,0,0,0,0,,Skipped because initial URL fetch failed,false,0,0,0,0,0,0,,Skipped because initial URL fetch failed,false,0,0,0,0,,Skipped because initial URL fetch failed,0,fetch failed,
316,Navigant,firefox,both,desktop,1280,800,https://www.navigantcorp.com/assets/css/plugins/animate.min.css,https://www.navigantcorp.com/assets/css/plugins/animate.min.css,,false,false,10493,false,0,0,0,0,,Skipped because initial URL fetch failed,false,0,0,0,0,,Skipped because initial URL fetch failed,false,0,0,0,0,0,0,,Skipped because initial URL fetch failed,false,0,0,0,0,0,0,,Skipped because initial URL fetch failed,false,0,0,0,0,,Skipped because initial URL fetch failed,0,fetch failed,
316,Navigant,firefox,both,desktop,1280,800,https://www.navigantcorp.com/notices.php,https://www.navigantcorp.com/notices.php,,false,false,10492,false,0,0,0,0,,Skipped because initial URL fetch failed,false,0,0,0,0,,Skipped because initial URL fetch failed,false,0,0,0,0,0,0,,Skipped because initial URL fetch failed,false,0,0,0,0,0,0,,Skipped because initial URL fetch failed,false,0,0,0,0,,Skipped because initial URL fetch failed,0,fetch failed,
