issue_number,scan_title,submitted_url,final_url,http_status,fetch_ok,redirected,elapsed_ms,alfa_executed,alfa_passed,alfa_failed,alfa_cant_tell,alfa_inapplicable,alfa_failed_rules,alfa_error,axe_executed,axe_passed,axe_failed,axe_cant_tell,axe_inapplicable,axe_failed_rules,axe_error,equal_access_executed,equal_access_passed,equal_access_failed,equal_access_failed_unique,equal_access_failed_duplicates,equal_access_cant_tell,equal_access_inapplicable,equal_access_failed_rules,equal_access_error,accesslint_executed,accesslint_passed,accesslint_failed,accesslint_failed_unique,accesslint_failed_duplicates,accesslint_cant_tell,accesslint_inapplicable,accesslint_failed_rules,accesslint_error,qualweb_executed,qualweb_passed,qualweb_failed,qualweb_cant_tell,qualweb_inapplicable,qualweb_failed_rules,qualweb_error,duplicate_findings,fetch_error,page_title
267,AB Test,https://affinitybridge.com/services/maintenance-growth,https://affinitybridge.com/services/maintenance-growth,200,true,false,4388,false,0,0,0,0,,Skipped (not requested),true,10,5,0,79,html-has-lang;landmark-one-main;region,,true,29,3,3,0,0,0,aria_content_in_landmark;html_lang_exists;skip_main_exists,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,,Skipped (not requested),0,,Maintenance and Growth | Affinity Bridge
267,AB Test,https://affinitybridge.com/about/b-corp,https://affinitybridge.com/about/b-corp,200,true,false,4345,false,0,0,0,0,,Skipped (not requested),true,10,5,0,79,html-has-lang;landmark-one-main;region,,true,29,3,3,0,0,0,aria_content_in_landmark;html_lang_exists;skip_main_exists,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,,Skipped (not requested),0,,B Corp | Affinity Bridge
267,AB Test,https://affinitybridge.com/about/equity-diversity-interdependence-justice,https://affinitybridge.com/about/equity-diversity-interdependence-justice,200,true,false,4341,false,0,0,0,0,,Skipped (not requested),true,10,5,0,79,html-has-lang;landmark-one-main;region,,true,29,3,3,0,0,0,aria_content_in_landmark;html_lang_exists;skip_main_exists,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,,Skipped (not requested),0,,"Equity, Diversity, Interdependence and Justice | Affinity Bridge"
267,AB Test,https://affinitybridge.com/work/case-study/vancouver-mural-festival-app-connecting-through-art,https://affinitybridge.com/work/case-study/vancouver-mural-festival-app-connecting-through-art,200,true,false,4428,false,0,0,0,0,,Skipped (not requested),true,10,5,0,79,html-has-lang;landmark-one-main;region,,true,29,3,3,0,0,0,aria_content_in_landmark;html_lang_exists;skip_main_exists,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,,Skipped (not requested),0,,Vancouver Mural Festival: An App for Connecting Through Art | Affinity Bridge
267,AB Test,https://affinitybridge.com/blog/strategy-ux-design/continuous-investment-product-centred-approach,https://affinitybridge.com/blog/strategy-ux-design/continuous-investment-product-centred-approach,200,true,false,4300,false,0,0,0,0,,Skipped (not requested),true,10,5,0,79,html-has-lang;landmark-one-main;region,,true,29,3,3,0,0,0,aria_content_in_landmark;html_lang_exists;skip_main_exists,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,,Skipped (not requested),0,,Continuous Investment: A Product-Centred Approach | Affinity Bridge
267,AB Test,https://affinitybridge.com/about/our-team/clayton-thomas-muller,https://affinitybridge.com/about/our-team/clayton-thomas-muller,200,true,false,4291,false,0,0,0,0,,Skipped (not requested),true,10,5,0,79,html-has-lang;landmark-one-main;region,,true,29,3,3,0,0,0,aria_content_in_landmark;html_lang_exists;skip_main_exists,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,,Skipped (not requested),0,,Clayton Thomas-Müller | Affinity Bridge
267,AB Test,https://affinitybridge.com/about/our-team/zoe-neill-st-clair,https://affinitybridge.com/about/our-team/zoe-neill-st-clair,200,true,false,4285,false,0,0,0,0,,Skipped (not requested),true,10,5,0,79,html-has-lang;landmark-one-main;region,,true,29,3,3,0,0,0,aria_content_in_landmark;html_lang_exists;skip_main_exists,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,,Skipped (not requested),0,,Zoë Neill-St. Clair | Affinity Bridge
267,AB Test,https://affinitybridge.com/blog/insights/amplifying-messaging-through-online-education,https://affinitybridge.com/blog/insights/amplifying-messaging-through-online-education,200,true,false,4315,false,0,0,0,0,,Skipped (not requested),true,10,5,0,79,html-has-lang;landmark-one-main;region,,true,29,3,3,0,0,0,aria_content_in_landmark;html_lang_exists;skip_main_exists,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,,Skipped (not requested),0,,Amplifying Messaging Through Online Education | Affinity Bridge
267,AB Test,https://affinitybridge.com/work/case-study/access-pro-bono-streamlining-access-legal-help,https://affinitybridge.com/work/case-study/access-pro-bono-streamlining-access-legal-help,200,true,false,4390,false,0,0,0,0,,Skipped (not requested),true,10,5,0,79,html-has-lang;landmark-one-main;region,,true,29,3,3,0,0,0,aria_content_in_landmark;html_lang_exists;skip_main_exists,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,,Skipped (not requested),0,,Access Pro Bono: Streamlining Access to Legal Help | Affinity Bridge
267,AB Test,https://affinitybridge.com/work/case-study/kids-boost-immunity-donating-vaccines-worldwide,https://affinitybridge.com/work/case-study/kids-boost-immunity-donating-vaccines-worldwide,200,true,false,4350,false,0,0,0,0,,Skipped (not requested),true,10,5,0,79,html-has-lang;landmark-one-main;region,,true,29,3,3,0,0,0,aria_content_in_landmark;html_lang_exists;skip_main_exists,,false,0,0,0,0,0,0,,Skipped (not requested),false,0,0,0,0,,Skipped (not requested),0,,Kids Boost Immunity: Donating Vaccines Worldwide | Affinity Bridge
