issue_number,scan_title,submitted_url,final_url,http_status,fetch_ok,redirected,elapsed_ms,alfa_executed,alfa_passed,alfa_failed,alfa_cant_tell,alfa_inapplicable,alfa_failed_rules,alfa_error,axe_executed,axe_passed,axe_failed,axe_cant_tell,axe_inapplicable,axe_failed_rules,axe_error,equal_access_executed,equal_access_passed,equal_access_failed,equal_access_failed_unique,equal_access_failed_duplicates,equal_access_cant_tell,equal_access_inapplicable,equal_access_failed_rules,equal_access_error,accesslint_executed,accesslint_passed,accesslint_failed,accesslint_failed_unique,accesslint_failed_duplicates,accesslint_cant_tell,accesslint_inapplicable,accesslint_failed_rules,accesslint_error,duplicate_findings,fetch_error,page_title
28,USA Cities over 100k,https://www.minneapolismn.gov/,https://www.minneapolismn.gov/,200,true,false,32565,true,3286,38,2,43,https://alfa.siteimprove.com/rules/sia-r111;https://alfa.siteimprove.com/rules/sia-r56;https://alfa.siteimprove.com/rules/sia-r57;https://alfa.siteimprove.com/rules/sia-r61;https://alfa.siteimprove.com/rules/sia-r66,,true,3452,6,14,43,color-contrast;landmark-unique;region,,true,3002,48,32,16,25,0,aria_attribute_valid;aria_content_in_landmark;aria_hidden_nontabbable;aria_landmark_name_unique;aria_navigation_label_unique;aria_role_redundant;element_attribute_deprecated;element_tabbable_unobscured;figure_label_exists;style_color_misuse;style_focus_visible;style_highcontrast_visible;text_block_heading,,true,88,4,4,0,0,0,distinguishable/color-contrast,,49,,City of Minneapolis
28,USA Cities over 100k,https://www.cityoftulsa.org/,https://www.cityoftulsa.org/,200,true,false,12634,true,1532,660,31,45,https://alfa.siteimprove.com/rules/sia-r11;https://alfa.siteimprove.com/rules/sia-r111;https://alfa.siteimprove.com/rules/sia-r13;https://alfa.siteimprove.com/rules/sia-r2;https://alfa.siteimprove.com/rules/sia-r3;https://alfa.siteimprove.com/rules/sia-r57;https://alfa.siteimprove.com/rules/sia-r61;https://alfa.siteimprove.com/rules/sia-r66;https://alfa.siteimprove.com/rules/sia-r69;https://alfa.siteimprove.com/rules/sia-r73;https://alfa.siteimprove.com/rules/sia-r74;https://alfa.siteimprove.com/rules/sia-r87;https://alfa.siteimprove.com/rules/sia-r90,,true,912,36,7,45,color-contrast;frame-title;image-alt;label-title-only;link-name;nested-interactive;region,,true,2291,121,92,29,51,0,a_text_purpose;aria_content_in_landmark;aria_contentinfo_misuse;aria_descendant_valid;aria_eventhandler_role_valid;aria_form_label_unique;element_attribute_deprecated;element_id_unique;element_tabbable_unobscured;element_tabbable_visible;form_submit_button_exists;frame_src_valid;frame_title_exists;html_skipnav_exists;img_alt_valid;input_label_visible;label_ref_valid;script_onclick_misuse;style_color_misuse;style_focus_visible;style_highcontrast_visible;target_spacing_sufficient;text_block_heading;text_contrast_sufficient,,true,67,25,24,1,0,0,aria/presentational-children-focusable;distinguishable/color-contrast;keyboard-accessible/nested-interactive;labels-and-names/frame-title;labels-and-names/label-title-only;landmarks/landmark-main;landmarks/region;navigable/link-name;navigable/page-has-heading-one;text-alternatives/img-alt,,671,,City of Tulsa
28,USA Cities over 100k,http://www.bakersfieldcity.us/,https://www.bakersfieldcity.us/,200,true,true,25444,true,2033,409,657,48,https://alfa.siteimprove.com/rules/sia-r111;https://alfa.siteimprove.com/rules/sia-r113;https://alfa.siteimprove.com/rules/sia-r12;https://alfa.siteimprove.com/rules/sia-r57;https://alfa.siteimprove.com/rules/sia-r61;https://alfa.siteimprove.com/rules/sia-r64;https://alfa.siteimprove.com/rules/sia-r66,,true,518,2,0,50,region,,true,3736,39,35,4,31,0,aria_content_in_landmark;aria_hidden_nontabbable;aria_role_redundant;element_attribute_deprecated;element_tabbable_unobscured;frame_src_valid;html_skipnav_exists;input_label_visible;style_color_misuse;style_focus_visible;style_highcontrast_visible;svg_graphics_labelled;target_spacing_sufficient;text_contrast_sufficient;widget_tabbable_single,,true,90,2,2,0,0,0,landmarks/complementary-is-top-level;landmarks/region,,379,,"Bakersfield, CA - Official Website | Official Website"
28,USA Cities over 100k,https://www.wichita.gov/,https://www.wichita.gov/,200,true,false,38442,true,2509,404,661,38,https://alfa.siteimprove.com/rules/sia-r111;https://alfa.siteimprove.com/rules/sia-r113;https://alfa.siteimprove.com/rules/sia-r14;https://alfa.siteimprove.com/rules/sia-r18;https://alfa.siteimprove.com/rules/sia-r3;https://alfa.siteimprove.com/rules/sia-r42;https://alfa.siteimprove.com/rules/sia-r53;https://alfa.siteimprove.com/rules/sia-r56;https://alfa.siteimprove.com/rules/sia-r57;https://alfa.siteimprove.com/rules/sia-r61;https://alfa.siteimprove.com/rules/sia-r62;https://alfa.siteimprove.com/rules/sia-r66;https://alfa.siteimprove.com/rules/sia-r68;https://alfa.siteimprove.com/rules/sia-r73;https://alfa.siteimprove.com/rules/sia-r80,,true,1976,41,91,33,aria-allowed-attr;aria-required-children;aria-required-parent;aria-valid-attr-value;color-contrast;heading-order;landmark-unique;page-has-heading-one;region,,true,7858,165,125,40,131,0,aria_attribute_valid;aria_child_valid;aria_content_in_landmark;aria_id_unique;aria_keyboard_handler_exists;aria_landmark_name_unique;aria_navigation_label_unique;aria_parent_required;aria_region_label_unique;aria_role_redundant;aria_widget_labelled;element_attribute_deprecated;element_id_unique;element_tabbable_role_valid;element_tabbable_unobscured;element_tabbable_visible;form_submit_button_exists;frame_src_valid;heading_content_exists;input_label_before;input_label_visible;input_onchange_review;label_name_visible;style_color_misuse;style_focus_visible;style_highcontrast_visible;svg_graphics_labelled;target_spacing_sufficient;text_block_heading;text_contrast_sufficient;widget_tabbable_single,,true,74,18,18,0,0,0,distinguishable/link-in-text-block;keyboard-accessible/focus-order;landmarks/complementary-is-top-level;landmarks/landmark-unique;landmarks/region;navigable/heading-order;navigable/page-has-heading-one,,413,,"Wichita, KS  | Official Website"
28,USA Cities over 100k,http://www.arlingtontx.gov/,https://www.arlingtontx.gov/Home,200,true,true,19016,true,2633,64,14,45,https://alfa.siteimprove.com/rules/sia-r111;https://alfa.siteimprove.com/rules/sia-r12;https://alfa.siteimprove.com/rules/sia-r53;https://alfa.siteimprove.com/rules/sia-r57;https://alfa.siteimprove.com/rules/sia-r61;https://alfa.siteimprove.com/rules/sia-r68;https://alfa.siteimprove.com/rules/sia-r73;https://alfa.siteimprove.com/rules/sia-r78,,true,1600,1,184,39,heading-order,,true,5014,80,75,5,75,0,aria_child_valid;aria_content_in_landmark;aria_hidden_nontabbable;aria_id_unique;element_attribute_deprecated;element_tabbable_unobscured;element_tabbable_visible;frame_src_valid;html_skipnav_exists;input_label_visible;style_color_misuse;style_focus_visible;style_highcontrast_visible;text_block_heading;text_sensory_misuse,,true,89,3,3,0,0,0,aria/aria-hidden-focus;landmarks/region;navigable/heading-order,,43,,"Home | City of Arlington, TX"
28,USA Cities over 100k,https://www.auroragov.org/,https://www.auroragov.org/,200,true,false,33125,true,3133,377,53,42,https://alfa.siteimprove.com/rules/sia-r111;https://alfa.siteimprove.com/rules/sia-r12;https://alfa.siteimprove.com/rules/sia-r14;https://alfa.siteimprove.com/rules/sia-r3;https://alfa.siteimprove.com/rules/sia-r53;https://alfa.siteimprove.com/rules/sia-r56;https://alfa.siteimprove.com/rules/sia-r57;https://alfa.siteimprove.com/rules/sia-r66;https://alfa.siteimprove.com/rules/sia-r68;https://alfa.siteimprove.com/rules/sia-r78;https://alfa.siteimprove.com/rules/sia-r83,,true,1463,50,18,48,aria-allowed-role;heading-order;image-redundant-alt;landmark-unique;list;listitem;meta-viewport-large;region,,true,7671,205,99,106,131,0,aria_attribute_required;aria_child_valid;aria_content_in_landmark;aria_form_label_unique;aria_hidden_nontabbable;aria_landmark_name_unique;aria_navigation_label_unique;aria_role_redundant;aria_role_valid;element_attribute_deprecated;element_id_unique;element_tabbable_unobscured;element_tabbable_visible;frame_src_valid;html_skipnav_exists;img_alt_redundant;input_label_exists;input_label_visible;label_name_visible;style_background_decorative;style_color_misuse;style_focus_visible;style_highcontrast_visible;svg_graphics_labelled;target_spacing_sufficient;text_block_heading;text_contrast_sufficient;text_sensory_misuse,,true,33,59,59,0,0,0,adaptable/list-children;adaptable/listitem-parent;aria/aria-allowed-role;aria/aria-hidden-focus;distinguishable/color-contrast;labels-and-names/label-content-mismatch;landmarks/landmark-main;landmarks/landmark-unique;text-alternatives/image-redundant-alt,,465,,Home - City of Aurora
28,USA Cities over 100k,https://www.tampa.gov/,https://www.tampa.gov/,200,true,false,20739,true,1970,108,11,46,https://alfa.siteimprove.com/rules/sia-r111;https://alfa.siteimprove.com/rules/sia-r56;https://alfa.siteimprove.com/rules/sia-r57;https://alfa.siteimprove.com/rules/sia-r61;https://alfa.siteimprove.com/rules/sia-r66;https://alfa.siteimprove.com/rules/sia-r73,,true,1549,13,10,44,aria-allowed-role;aria-prohibited-attr;image-redundant-alt;landmark-complementary-is-top-level;landmark-main-is-top-level;landmark-no-duplicate-banner;landmark-no-duplicate-main;landmark-unique;page-has-heading-one;region,,true,8778,143,106,37,50,0,aria_banner_label_unique;aria_banner_single;aria_complementary_labelled;aria_content_in_landmark;aria_landmark_name_unique;aria_main_label_unique;aria_main_label_visible;aria_navigation_label_unique;aria_role_redundant;element_attribute_deprecated;element_id_unique;element_tabbable_role_valid;element_tabbable_unobscured;element_tabbable_visible;img_alt_redundant;label_name_visible;list_markup_review;style_background_decorative;style_color_misuse;style_focus_visible;style_highcontrast_visible;style_viewport_resizable;svg_graphics_labelled;text_block_heading;text_quoted_correctly;text_sensory_misuse;widget_tabbable_exists,,true,85,7,7,0,0,0,aria/presentational-children-focusable;landmarks/landmark-main;landmarks/landmark-unique;landmarks/no-duplicate-banner;landmarks/no-duplicate-main;navigable/page-has-heading-one,,131,,City of Tampa
28,USA Cities over 100k,https://nola.gov/,https://nola.gov/home/,200,true,true,15478,true,945,82,14,43,https://alfa.siteimprove.com/rules/sia-r111;https://alfa.siteimprove.com/rules/sia-r56;https://alfa.siteimprove.com/rules/sia-r57;https://alfa.siteimprove.com/rules/sia-r61;https://alfa.siteimprove.com/rules/sia-r66;https://alfa.siteimprove.com/rules/sia-r69;https://alfa.siteimprove.com/rules/sia-r72;https://alfa.siteimprove.com/rules/sia-r73;https://alfa.siteimprove.com/rules/sia-r74;https://alfa.siteimprove.com/rules/sia-r78,,true,736,17,8,38,color-contrast;label-title-only;landmark-unique;page-has-heading-one;region,,true,2173,53,52,1,32,0,aria_complementary_labelled;aria_eventhandler_role_valid;aria_form_label_unique;aria_role_redundant;element_attribute_deprecated;element_tabbable_unobscured;element_tabbable_visible;form_submit_button_exists;frame_src_valid;html_lang_exists;html_skipnav_exists;input_checkboxes_grouped;input_label_visible;style_background_decorative;style_color_misuse;style_focus_visible;style_highcontrast_visible;svg_graphics_labelled;text_block_heading;text_contrast_sufficient;text_quoted_correctly;widget_tabbable_exists,,true,78,14,14,0,0,0,adaptable/list-children;distinguishable/color-contrast;labels-and-names/label-title-only;navigable/page-has-heading-one,,68,,Home  - City of New Orleans
28,USA Cities over 100k,https://www.clevelandohio.gov/,https://www.clevelandohio.gov/,200,true,false,12769,true,1609,64,7,45,https://alfa.siteimprove.com/rules/sia-r111;https://alfa.siteimprove.com/rules/sia-r113;https://alfa.siteimprove.com/rules/sia-r18;https://alfa.siteimprove.com/rules/sia-r3;https://alfa.siteimprove.com/rules/sia-r57;https://alfa.siteimprove.com/rules/sia-r66;https://alfa.siteimprove.com/rules/sia-r69;https://alfa.siteimprove.com/rules/sia-r70;https://alfa.siteimprove.com/rules/sia-r73;https://alfa.siteimprove.com/rules/sia-r78,,true,965,1,6,42,region,,true,2259,47,40,7,43,0,aria_content_in_landmark;aria_role_redundant;element_attribute_deprecated;element_tabbable_visible;frame_src_valid;input_label_visible;style_color_misuse;style_focus_visible;style_highcontrast_visible;style_viewport_resizable;text_block_heading;text_contrast_sufficient,,true,83,9,9,0,0,0,distinguishable/color-contrast;landmarks/landmark-unique;landmarks/region;text-alternatives/image-redundant-alt,,55,,Home | City of Cleveland Ohio
28,USA Cities over 100k,http://www.honolulu.gov/,http://www.honolulu.gov/,,false,false,10496,false,0,0,0,0,,Skipped because initial URL fetch failed,false,0,0,0,0,,Skipped because initial URL fetch failed,false,0,0,0,0,0,0,,Skipped because initial URL fetch failed,false,0,0,0,0,0,0,,Skipped because initial URL fetch failed,0,fetch failed,
