issue_number,scan_title,submitted_url,final_url,http_status,fetch_ok,redirected,elapsed_ms,alfa_executed,alfa_passed,alfa_failed,alfa_cant_tell,alfa_inapplicable,alfa_failed_rules,alfa_error,axe_executed,axe_passed,axe_failed,axe_cant_tell,axe_inapplicable,axe_failed_rules,axe_error,equal_access_executed,equal_access_passed,equal_access_failed,equal_access_failed_unique,equal_access_failed_duplicates,equal_access_cant_tell,equal_access_inapplicable,equal_access_failed_rules,equal_access_error,accesslint_executed,accesslint_passed,accesslint_failed,accesslint_failed_unique,accesslint_failed_duplicates,accesslint_cant_tell,accesslint_inapplicable,accesslint_failed_rules,accesslint_error,qualweb_executed,qualweb_passed,qualweb_failed,qualweb_cant_tell,qualweb_inapplicable,qualweb_failed_rules,qualweb_error,duplicate_findings,fetch_error,page_title
137,Texas.gov —,https://texas.gov/,https://www.texas.gov/,200,true,true,12297,true,783,93,11,48,https://alfa.siteimprove.com/rules/sia-r111;https://alfa.siteimprove.com/rules/sia-r3;https://alfa.siteimprove.com/rules/sia-r53;https://alfa.siteimprove.com/rules/sia-r57;https://alfa.siteimprove.com/rules/sia-r66;https://alfa.siteimprove.com/rules/sia-r73;https://alfa.siteimprove.com/rules/sia-r74;https://alfa.siteimprove.com/rules/sia-r80,,true,675,3,5,47,heading-order;region,,true,1824,70,64,6,52,0,aria_child_valid;aria_content_in_landmark;aria_role_redundant;element_attribute_deprecated;element_id_unique;element_tabbable_unobscured;label_name_visible;style_color_misuse;style_focus_visible;style_highcontrast_visible;text_block_heading;text_contrast_sufficient,,true,84,8,8,0,0,0,distinguishable/color-contrast;navigable/heading-order,,true,309,17,102,1,QW-ACT-R25;QW-ACT-R30;QW-ACT-R76,,78,,Texas.gov | The Official Website of the State of Texas
137,Texas.gov —,https://texas.gov/about/site-policies/accessibility-policy/,https://www.texas.gov/about/site-policies/accessibility-policy/,404,false,true,9376,true,663,60,3,50,https://alfa.siteimprove.com/rules/sia-r111;https://alfa.siteimprove.com/rules/sia-r3;https://alfa.siteimprove.com/rules/sia-r53;https://alfa.siteimprove.com/rules/sia-r57;https://alfa.siteimprove.com/rules/sia-r66;https://alfa.siteimprove.com/rules/sia-r73;https://alfa.siteimprove.com/rules/sia-r74;https://alfa.siteimprove.com/rules/sia-r80,,true,595,3,2,47,heading-order;region,,true,1390,50,47,3,39,0,aria_child_valid;aria_content_in_landmark;aria_role_redundant;element_attribute_deprecated;element_id_unique;element_tabbable_unobscured;label_name_visible;style_color_misuse;style_focus_visible;style_highcontrast_visible;text_sensory_misuse,,true,84,8,8,0,0,0,distinguishable/color-contrast;navigable/heading-order,,true,268,13,91,1,QW-ACT-R25;QW-ACT-R30;QW-ACT-R76,,54,,Hold on a second partner | Texas.gov
137,Texas.gov —,https://texas.gov/es/acerca/politicas-del-sitio/politica-de-accesibilidad/,https://www.texas.gov/es/acerca/politicas-del-sitio/politica-de-accesibilidad/,404,false,true,9762,true,663,60,3,50,https://alfa.siteimprove.com/rules/sia-r111;https://alfa.siteimprove.com/rules/sia-r3;https://alfa.siteimprove.com/rules/sia-r53;https://alfa.siteimprove.com/rules/sia-r57;https://alfa.siteimprove.com/rules/sia-r66;https://alfa.siteimprove.com/rules/sia-r73;https://alfa.siteimprove.com/rules/sia-r74;https://alfa.siteimprove.com/rules/sia-r80,,true,595,3,2,47,heading-order;region,,true,1390,50,47,3,39,0,aria_child_valid;aria_content_in_landmark;aria_role_redundant;element_attribute_deprecated;element_id_unique;element_tabbable_unobscured;label_name_visible;style_color_misuse;style_focus_visible;style_highcontrast_visible;text_sensory_misuse,,true,84,8,8,0,0,0,distinguishable/color-contrast;navigable/heading-order,,true,268,13,91,1,QW-ACT-R25;QW-ACT-R30;QW-ACT-R76,,54,,Hold on a second partner | Texas.gov
137,Texas.gov —,https://texas.gov/search/,https://www.texas.gov/search/,200,true,true,9004,true,664,55,4,49,https://alfa.siteimprove.com/rules/sia-r111;https://alfa.siteimprove.com/rules/sia-r3;https://alfa.siteimprove.com/rules/sia-r53;https://alfa.siteimprove.com/rules/sia-r56;https://alfa.siteimprove.com/rules/sia-r57;https://alfa.siteimprove.com/rules/sia-r66;https://alfa.siteimprove.com/rules/sia-r74;https://alfa.siteimprove.com/rules/sia-r80,,true,619,6,2,45,heading-order;landmark-main-is-top-level;landmark-no-duplicate-main;landmark-unique;region,,true,1444,59,56,3,43,0,aria_child_valid;aria_content_in_landmark;aria_main_label_unique;aria_main_label_visible;aria_role_redundant;element_attribute_deprecated;element_id_unique;element_tabbable_unobscured;form_submit_button_exists;input_label_visible;label_name_visible;style_color_misuse;style_focus_visible;style_highcontrast_visible,,true,82,10,10,0,0,0,distinguishable/color-contrast;landmarks/landmark-main;landmarks/no-duplicate-main;navigable/heading-order,,true,270,13,93,1,QW-ACT-R25;QW-ACT-R30;QW-ACT-R76,,48,,Search Results
137,Texas.gov —,https://texas.gov/es/search/,https://www.texas.gov/es/search/,200,true,true,9097,true,662,59,4,49,https://alfa.siteimprove.com/rules/sia-r111;https://alfa.siteimprove.com/rules/sia-r3;https://alfa.siteimprove.com/rules/sia-r53;https://alfa.siteimprove.com/rules/sia-r56;https://alfa.siteimprove.com/rules/sia-r57;https://alfa.siteimprove.com/rules/sia-r66;https://alfa.siteimprove.com/rules/sia-r74;https://alfa.siteimprove.com/rules/sia-r80,,true,615,6,1,45,heading-order;landmark-main-is-top-level;landmark-no-duplicate-main;landmark-unique;region,,true,1432,58,55,3,42,0,aria_child_valid;aria_content_in_landmark;aria_main_label_unique;aria_main_label_visible;aria_role_redundant;element_attribute_deprecated;element_id_unique;element_tabbable_unobscured;form_submit_button_exists;input_label_visible;label_name_visible;style_color_misuse;style_focus_visible;style_highcontrast_visible,,true,82,10,10,0,0,0,distinguishable/color-contrast;landmarks/landmark-main;landmarks/no-duplicate-main;navigable/heading-order,,true,268,13,92,1,QW-ACT-R25;QW-ACT-R30;QW-ACT-R76,,52,,Resultados de Busqueda
137,Texas.gov —,https://texas.gov/search/advanced/,https://www.texas.gov/search/advanced/,404,false,true,9357,true,663,60,3,50,https://alfa.siteimprove.com/rules/sia-r111;https://alfa.siteimprove.com/rules/sia-r3;https://alfa.siteimprove.com/rules/sia-r53;https://alfa.siteimprove.com/rules/sia-r57;https://alfa.siteimprove.com/rules/sia-r66;https://alfa.siteimprove.com/rules/sia-r73;https://alfa.siteimprove.com/rules/sia-r74;https://alfa.siteimprove.com/rules/sia-r80,,true,595,3,2,47,heading-order;region,,true,1390,50,47,3,39,0,aria_child_valid;aria_content_in_landmark;aria_role_redundant;element_attribute_deprecated;element_id_unique;element_tabbable_unobscured;label_name_visible;style_color_misuse;style_focus_visible;style_highcontrast_visible;text_sensory_misuse,,true,84,8,8,0,0,0,distinguishable/color-contrast;navigable/heading-order,,true,268,13,91,1,QW-ACT-R25;QW-ACT-R30;QW-ACT-R76,,54,,Hold on a second partner | Texas.gov
137,Texas.gov —,https://texas.gov/help-support/contact-help-desk/,https://www.texas.gov/help-support/contact-help-desk/,200,true,true,12359,true,893,90,4,46,https://alfa.siteimprove.com/rules/sia-r10;https://alfa.siteimprove.com/rules/sia-r111;https://alfa.siteimprove.com/rules/sia-r3;https://alfa.siteimprove.com/rules/sia-r53;https://alfa.siteimprove.com/rules/sia-r57;https://alfa.siteimprove.com/rules/sia-r66;https://alfa.siteimprove.com/rules/sia-r73;https://alfa.siteimprove.com/rules/sia-r74;https://alfa.siteimprove.com/rules/sia-r80;https://alfa.siteimprove.com/rules/sia-r86,,true,792,7,4,41,autocomplete-valid;heading-order;region,,true,1995,71,67,4,56,0,aria_child_valid;aria_content_in_landmark;aria_keyboard_handler_exists;aria_role_redundant;element_attribute_deprecated;element_id_unique;element_tabbable_unobscured;frame_src_valid;input_autocomplete_valid;input_label_visible;label_name_visible;style_color_misuse;style_focus_visible;style_highcontrast_visible;text_sensory_misuse,,true,83,9,9,0,0,0,adaptable/autocomplete-valid;distinguishable/color-contrast;navigable/heading-order,,true,362,23,127,1,QW-ACT-R24;QW-ACT-R25;QW-ACT-R28;QW-ACT-R30;QW-ACT-R76,,85,,Contact Help Desk | Texas.gov
137,Texas.gov —,https://texas.gov/help-support/report-a-website-issue/,https://www.texas.gov/help-support/report-a-website-issue/,404,false,true,9174,true,663,60,3,50,https://alfa.siteimprove.com/rules/sia-r111;https://alfa.siteimprove.com/rules/sia-r3;https://alfa.siteimprove.com/rules/sia-r53;https://alfa.siteimprove.com/rules/sia-r57;https://alfa.siteimprove.com/rules/sia-r66;https://alfa.siteimprove.com/rules/sia-r73;https://alfa.siteimprove.com/rules/sia-r74;https://alfa.siteimprove.com/rules/sia-r80,,true,595,3,2,47,heading-order;region,,true,1390,50,47,3,39,0,aria_child_valid;aria_content_in_landmark;aria_role_redundant;element_attribute_deprecated;element_id_unique;element_tabbable_unobscured;label_name_visible;style_color_misuse;style_focus_visible;style_highcontrast_visible;text_sensory_misuse,,true,84,8,8,0,0,0,distinguishable/color-contrast;navigable/heading-order,,true,268,13,91,1,QW-ACT-R25;QW-ACT-R30;QW-ACT-R76,,54,,Hold on a second partner | Texas.gov
137,Texas.gov —,https://texas.gov/driver-services/texas-driver-license-id-renewals-replacements/online-eligibility/,https://www.texas.gov/driver-services/texas-driver-license-id-renewals-replacements/online-eligibility/,200,true,true,10167,true,1210,108,3,50,https://alfa.siteimprove.com/rules/sia-r111;https://alfa.siteimprove.com/rules/sia-r3;https://alfa.siteimprove.com/rules/sia-r53;https://alfa.siteimprove.com/rules/sia-r57;https://alfa.siteimprove.com/rules/sia-r66;https://alfa.siteimprove.com/rules/sia-r73;https://alfa.siteimprove.com/rules/sia-r74;https://alfa.siteimprove.com/rules/sia-r80,,true,952,3,1,49,heading-order;region,,true,2506,77,67,10,65,0,aria_child_valid;aria_content_in_landmark;aria_role_redundant;element_attribute_deprecated;element_id_unique;element_tabbable_unobscured;label_name_visible;style_color_misuse;style_focus_visible;style_highcontrast_visible;text_sensory_misuse,,true,84,8,8,0,0,0,distinguishable/color-contrast;navigable/heading-order,,true,425,28,162,1,QW-ACT-R25;QW-ACT-R30;QW-ACT-R76,,122,,Online Services Eligibility for Texas Driver License and ID Cards | Texas.gov
137,Texas.gov —,https://texas.gov/living-in-texas/property-tax-directory/,https://www.texas.gov/living-in-texas/property-tax-directory/,200,true,true,9865,true,1144,128,3,50,https://alfa.siteimprove.com/rules/sia-r111;https://alfa.siteimprove.com/rules/sia-r113;https://alfa.siteimprove.com/rules/sia-r3;https://alfa.siteimprove.com/rules/sia-r53;https://alfa.siteimprove.com/rules/sia-r57;https://alfa.siteimprove.com/rules/sia-r66;https://alfa.siteimprove.com/rules/sia-r73;https://alfa.siteimprove.com/rules/sia-r74;https://alfa.siteimprove.com/rules/sia-r80,,true,931,3,1,45,heading-order;region,,true,2715,120,93,27,106,0,aria_child_valid;aria_content_in_landmark;aria_role_redundant;element_attribute_deprecated;element_id_unique;element_tabbable_unobscured;form_submit_button_exists;input_label_visible;label_name_visible;style_color_misuse;style_focus_visible;style_highcontrast_visible;target_spacing_sufficient;text_sensory_misuse,,true,82,10,9,1,0,0,distinguishable/color-contrast;distinguishable/link-in-text-block;navigable/heading-order,,true,514,14,153,1,QW-ACT-R25;QW-ACT-R30;QW-ACT-R76,,141,,Texas Property Tax Directory | Texas.gov
